pkid_storychords,pk_tablature_cues,storychords_timbre,storychords_articulation,storychords_tempo,storychords_definition,storychords_illustration,storychords_explanation
SP0001,"4, 68",Dynamics,Resolve,Steadfast,"Vivian ultimately
retains her essential
nature",,"Every Main Character represents one special character element. This element is either the cause of the story's problem, or its solution. The Main Character cannot be sure which she represents since it is too close to home. Near the climax of the story, the Main Character must make a Leap of Faith and decide if she should stick with her approach in the belief that it is the solution, or jump to the opposite trait in the belief she has been wrong. When a Main Character sticks with her story-long approach, she is said to remain Steadfast."
SP0002,72,Dynamics,Growth,Stop,"regarding Vivian, the
audience is waiting for
something to end",,"The nature of a Main Character's growth always has a direction to it. If the Main Character is a change and stop character, she will grow through change by abandoning a detrimental characteristic which she is presently exercising. If the Main Character is a steadfast and stop character, she will grow in her resolve to hold out for some negative force outside of himself to finally stop. Because both cases require the cessation of an activity (either in the character or her environment) the direction of growth is said to be Stop."
SP0003,16,Dynamics,Approach,Do-er,"Vivian looks for a
physical solution to
her problem",,"Every Main Character will have a preference to deal with problems by either physical effort or by mental/emotional effort. When a Main Character prefers working in the external environment, she is a Do-er."
SP0004,,Dynamics,Problem-Solving Style,Intuitive,"Vivian uses intuitive
problem solving
techniques",,"A choice of intuitive creates a Main Character whose psychology is based on assessing balance. The intuitive Main Character resolves inequities by comparing surpluses to deficiencies. The manner employed in resolving the inequity will involve creating a surplus where a surplus is desired, creating a deficiency where a deficiency is desired, creating a surplus so a deficiency is felt elsewhere, creating a deficiency so a surplus will be felt elsewhere. Through the application of one's own force, hills and valleys can be created and filled either to directly address the inequity or to create a change in the flow of energies that will ultimately come together in a new hill or disperse creating a new valley. These are the four primary inequity-resolving techniques of an intuitive problem-solving style character. It is important to note that these techniques are applied both to others and to oneself. Either way, manipulating surplus and deficiency describes the approach. When selecting intuitive or logical, typically, the choice is as simple as deciding if you want to tell a story about a woman or a man. But there is another consideration that is being employed with growing frequency in modern stories: putting the psyche of one sex into the skin of another. This does not refer only to the ""sex change"" comedies, but to many action stories with logical problem-solving style female Main Characters (e.g. Aliens) and many decision stories with intuitive problem-solving style male Main Characters (e.g. Prince of Tides and The Hunt for Red October). When an author writes a part for a woman, he would intuitively use the intuitive psyche for that character. Yet, by simply changing the name of the character from Mary to Joe and shifting the appropriate gender terms, the character would ostensibly become a man. But that man would not seem like a man. Even if all the specific feminine dialog were changed, even if all the culturally dictated manifestations were altered, the underlying psyche of the character would have the intuitive, female bias, rather than the logical, male bias. Sometimes stereotypes are propagated by what an audience expects to see, which filters the message and dilutes the truth. By placing the intuitive psyche in a male character, preconceptions no longer prevent the message from being heard. A word of caution -- this technique can make a Main Character seem ""odd"" in some hard to define way to your audience. So although the message may fare better, empathy between your audience and your Main Character may not."
SP0005,13,Dynamics,Driver,Action,"in terms of the Overall
plot, actions force
decisions",,"All stories have both Action and Decision, however one will take precedence over the other. Traditionally, one might define an Action story as having more Action or more intense Action than a Decision story. This view is overly influenced by how the story is told rather than what it represents. Dramatica takes a different view of Action and Decision. Either Actions force the need for Decisions or Decisions force the need for Actions in order to advance the plot. Over the course of the story as a whole, if Actions precipitate the progression of the plot, it is an Action story. The question to ask in regard to any particular story is which comes first to move the story along?--not which is there more of, for even if Action kicks things off, a small Action may be followed by great quantities of deliberation. In such a story, although Action is the Driver, one would hardly call it an Action story in the traditional sense. Action stories will begin with an Action, be marked at the beginning and end of every Act by an Action, and will end with a climactic Action. In an Action story, the story will eventually slow and dwindle until another Action occurred."
SP0006,47,Dynamics,Limit,Optionlock,"the story climax occurs
because all options
have been exhausted",,"If not for the story being forced to a climax, it might continue forever. When a story is brought to a conclusion because the characters run out of options, it is said to contain an Optionlock. As an analogy, one might think of a story as the process of examining rooms in a mansion to find a solution to the story's problem. Each room in the mansion will contain a clue to the actual location of the solution. In an optionlock, a character might be told he could examine any five rooms he wanted, but only five. He must pick the five rooms ahead of time. He can take as long as he likes to search each one, and go thoroughly examine four of the rooms. After the fourth he is given a choice: based on the clues he has found so far, does he wish to stick with his original fifth choice or pick another room instead out of all that remain. Either choice may lead to success or failure, but because running out of options forced the choice it is an Optionlock story. The choice is the Optionlock leap of faith that determines Change or Steadfast."
SP0007,71,Dynamics,Outcome,Failure,"the original goal is not
achieved",,"Every overall Throughline in a Grand Argument Story has at its beginning a desired outcome to be sought after. Ultimately, the characters will either achieve that outcome or Fail to do so. The reasons for Failure (and in fact the Failure itself) may not be bad. For example, in the course of trying to arrive at an outcome, the characters may decide it was wrong to want it, or learn that achieving it would hurt people. Whatever the reason, be it nobility or no ability, if the outcome desired at the story's beginning is not achieved, the story ends in Failure."
SP0008,72,Dynamics,Judgement,Good,"Vivian ultimately
succeeds in resolving her personal problems",,"Even though the effort to achieve the story's goal may result in success, this is not necessarily a good thing for the Main Character. In fact, success might be obtained in the overall story even though the Main Character fails to resolve her personal problems. Similarly, the effort to achieve the story goal might end in failure, yet the Main Character ends up overcoming her personal problems. Regardless of whether the overall story ends in Success or Failure, if the Main Character succeeds in resolving her personal problems, the outcome is deemed Good."
SP0009,4,Synopsis,Throughline,,,,
SP0010,2,Overall Story Throughline,Throughline,Activity,the geeneral area in which the Overall Story's problem resides as it concerns an activity or endeavor,,"The Activity Class is one of action. Whereas the Situation Class describes a fixed situation, Activity is a Class of dynamics. Situations evolve, develop, and change. Activities are engaged in and endeavors undertaken."
