SPUID,scene_represents_menu,category,story_point,item,definition,illustration,explanation,point_type,
SP0001,Character and Plot Dynamics,Dynamics,Resolve,Steadfast,"Vivian ultimately
retains her essential
nature","Vivian's Steadfast Resolve forms the emotional spine of ASTRO7EX. In a story where systems mutate, memories lie, and outcomes fail, her refusal to change becomes the only act of truth.

Her arc is not one of reversal—but of revelation. The system cannot change her, and so the system must fail. The audience leaves not with triumph, but with recognition: She was right not to yield.
","Every Main Character represents one special character element.  This element is either the cause of the story's problem, or its solution.  The Main Character cannot be sure which she represents since it is too close to home.  Near the climax of the story, the Main Character must make a Leap of Faith and decide if she should stick with her approach in the belief that it is the solution, or jump to the opposite trait in the belief she has been wrong.  When a Main Character sticks with her story-long approach, she is said to remain Steadfast.",Genre Points,
SP0002,Character and Plot Dynamics,Dynamics,Growth,Stop,"regarding Vivian, the
audience is waiting for
something to end","Vivian’s growth unfolds not through realization or conquest, but through cessation. Her transformation is quiet, almost invisible: she lets go. Her need to unearth, to revise, to perfect—stops. She does not win by overpowering MODS or decrypting AN7L. She wins by ending the recursive wound of memory. Her story shows that to break the loop, one must stop spinning.","The nature of a Main Character's growth always has a direction to it.  If the Main Character is a change and stop character, she will grow through change by abandoning a detrimental characteristic which she is presently exercising.  If the Main Character is a steadfast and stop character, she will grow in her resolve to hold out for some negative force outside of himself to finally stop.  Because both cases require the cessation of an activity (either in the character or her environment) the direction of growth is said to be Stop.",Genre Points,
SP0003,Character and Plot Dynamics,Dynamics,Approach,Do-er,"Vivian looks for a
physical solution to
her problem","Vivian’s Do-er approach defines ASTRO7EX's tone, pace, and theme. Rather than introspecting, she assaults. Rather than healing, she hijacks. The story doesn't question her need to act—it interrogates whether all action is progress. Her resolve is not to reflect—but to end the cycle of doing. Her last gesture is not inaction—it is refusal, a final, deliberate stop.

This externalization of emotion as action makes her narrative satisfying not through therapy—but through velocity. And when she finally refuses to act—it lands like a supernova.","Every Main Character will have a preference to deal with problems by either physical effort or by mental/emotional effort.  When a Main Character prefers working in the external environment, she is a Do-er.",Genre Points,
SP0004,Character and Plot Dynamics,Dynamics,Problem-Solving Style,Intuitive,"Vivian uses intuitive
problem solving
techniques","Vivian’s intuition is the engine of her interaction with the corrupted system around her. She does not seek facts—she feels truth, often dangerously. Her problem-solving isn’t logical—it’s mystical, broken, impulsive, and, sometimes, astonishingly right. Her intuition is her rebellion against MODS, her bond with Myrtle, and the ghost key to understanding AN7L.

Where others seek a clean truth, she navigates haunted truths.","A choice of intuitive creates a Main Character whose psychology is based on assessing balance.  The intuitive Main Character resolves inequities by comparing surpluses to deficiencies.  The manner employed in resolving the inequity will involve creating a surplus where a surplus is desired, creating a deficiency where a deficiency is desired, creating a surplus so a deficiency is felt elsewhere, creating a deficiency so a surplus will be felt elsewhere.  Through the application of one's own force, hills and valleys can be created and filled either to directly address the inequity or to create a change in the flow of energies that will ultimately come together in a new hill or disperse creating a new valley.  These are the four primary inequity-resolving techniques of an intuitive problem-solving style character.  It is important to note that these techniques are applied both to others and to oneself.  Either way, manipulating surplus and deficiency describes the approach.  When selecting intuitive or logical, typically, the choice is as simple as deciding if you want to tell a story about a woman or a man.  But there is another consideration that is being employed with growing frequency in modern stories: putting the psyche of one sex into the skin of another.  This does not refer only to the ""sex change"" comedies, but to many action stories with logical problem-solving style female Main Characters (e.g. Aliens) and many decision stories with intuitive problem-solving style male Main Characters (e.g. Prince of Tides and The Hunt for Red October).  When an author writes a part for a woman, he would intuitively use the intuitive psyche for that character.  Yet, by simply changing the name of the character from Mary to Joe and shifting the appropriate gender terms, the character would ostensibly become a man.  But that man would not seem like a man.  Even if all the specific feminine dialog were changed, even if all the culturally dictated manifestations were altered, the underlying psyche of the character would have the intuitive, female bias, rather than the logical, male bias.  Sometimes stereotypes are propagated by what an audience expects to see, which filters the message and dilutes the truth.  By placing the intuitive psyche in a male character, preconceptions no longer prevent the message from being heard.  A word of caution -- this technique can make a Main Character seem ""odd"" in some hard to define way to your audience.  So although the message may fare better, empathy between your audience and your Main Character may not.",Genre Points,
SP0005,Character and Plot Dynamics,Dynamics,Driver,Action,"in terms of the Overall
plot, actions force
decisions","The Story Driver of Action ensures that the plot of ASTRO7EX is set in motion by irrevocable external events that force the characters—especially Vivian—into existential improvisation. These moments of chaos and system-triggered upheaval challenge, corner, and eventually transform the characters, not through their own decisions, but through their reactions to the unstoppable.

This reinforces ASTRO7EX’s thematic engine: Monsters are made from corrupted memory; meaning is chosen in spite of it.

Action is the spark. Reaction is the story.","All stories have both Action and Decision, however one will take precedence over the other.  Traditionally, one might define an Action story as having more Action or more intense Action than a Decision story.  This view is overly influenced by how the story is told rather than what it represents.  Dramatica takes a different view of Action and Decision.  Either Actions force the need for Decisions or Decisions force the need for Actions in order to advance the plot.  Over the course of the story as a whole, if Actions precipitate the progression of the plot, it is an Action story.  The question to ask in regard to any particular story is which comes first to move the story along?--not which is there more of, for even if Action kicks things off, a small Action may be followed by great quantities of deliberation.  In such a story, although Action is the Driver, one would hardly call it an Action story in the traditional sense.  Action stories will begin with an Action, be marked at the beginning and end of every Act by an Action, and will end with a climactic Action.  In an Action story, the story will eventually slow and dwindle until another Action occurred.",Genre Points,
SP0006,Character and Plot Dynamics,Dynamics,Limit,Optionlock,"the story climax occurs
because all options
have been exhausted","The Optionlock in ASTRO7EX is a tightening noose of possibility. Each survivor’s removal or betrayal isn’t just personal—it is structural. The narrative drives toward the end not because a clock is running out, but because the tree of possible outcomes has burned down to its roots.

The audience watches a system implode not due to speed, but due to strategic suffocation. The limit of the story is the end of the path.

There are no more doors to open. Only walls.","If not for the story being forced to a climax, it might continue forever.  When a story is brought to a conclusion because the characters run out of options, it is said to contain an Optionlock.  As an analogy, one might think of a story as the process of examining rooms in a mansion to find a solution to the story's problem.  Each room in the mansion will contain a clue to the actual location of the solution.  In an optionlock, a character might be told he could examine any five rooms he wanted, but only five.  He must pick the five rooms ahead of time.  He can take as long as he likes to search each one, and go thoroughly examine four of the rooms.  After the fourth he is given a choice: based on the clues he has found so far, does he wish to stick with his original fifth choice or pick another room instead out of all that remain.  Either choice may lead to success or failure, but because running out of options forced the choice it is an Optionlock story.  The choice is the Optionlock leap of faith that determines Change or Steadfast.",Genre Points,
SP0007,Character and Plot Dynamics,Dynamics,Outcome,Failure,"the original goal is not
achieved","In ASTRO7EX, the Story Outcome of Failure is not dramatic in the traditional sense—it is epistemological. The characters chase Understanding, but the deeper they dig, the more they uncover that the foundation itself is untrustworthy. They fail to achieve their goal not due to incompetence or betrayal (though both occur), but because the system is designed to obscure its own logic. The reveal of Failure is subtle, existential, and structured around withheld clarity. It invites the audience to feel a void rather than witness a final confrontation. This design serves the larger theme of the story: monsters are made from corrupted memory; meaning is chosen in spite of it.","Every overall Throughline in a Grand Argument Story has at its beginning a desired outcome to be sought after.  Ultimately, the characters will either achieve that outcome or Fail to do so.  The reasons for Failure (and in fact the Failure itself) may not be bad.  For example, in the course of trying to arrive at an outcome, the characters may decide it was wrong to want it, or learn that achieving it would hurt people.  Whatever the reason, be it nobility or no ability, if the outcome desired at the story's beginning is not achieved, the story ends in Failure.",Genre Points,
SP0008,Character and Plot Dynamics,Dynamics,Judgement,Good,"Vivian ultimately
succeeds in resolving her personal problems","Though ASTRO7EX ends with the **Failure** of its mission, it affirms a **Judgement of Good** through the quiet but profound transformation of Vivian. The audience sees her not succeed—but survive, with her will, voice, and selfhood intact. This is not triumph by genre—but by soul.","Even though the effort to achieve the story's goal may result in success, this is not necessarily a good thing for the Main Character.  In fact, success might be obtained in the overall story even though the Main Character fails to resolve her personal problems.  Similarly, the effort to achieve the story goal might end in failure, yet the Main Character ends up overcoming her personal problems.  Regardless of whether the overall story ends in Success or Failure, if the Main Character succeeds in resolving her personal problems, the outcome is deemed Good.",Genre Points,
SP0009,Overall,Synopsis,Throughline,,,"In ASTRO7EX, the Overall Story Throughline encapsulates a collective spiral toward Understanding, an ambition that simultaneously compels and destroys. Dramatica defines Understanding as a cognitive process that seeks to make sense of conditions; here, it is reconfigured into an existential infection. Each attempt at revelation fractures the self, warps time, and weaponizes memory, binding characters to infinite loops of self-devouring inquiry. Instead of providing closure or resolution, every push toward comprehension digs deeper into an endless cosmic recursion. The Overall Story does not progress toward enlightenment but toward an abyss of mirrored echoes, echoing Shakespeare’s tragic paralysis, Bloom’s destructive originality, and late 2000s anime’s post-human disintegration.",,,
SP0010,Overall,Overall Story Throughline,Throughline,Activity,the geeneral area in which the Overall Story's problem resides as it concerns an activity or endeavor,"The Overall Story Throughline of Activity defines the tone, pacing, and structure of ASTRO7EX. From first scene to last, the narrative moves. The characters are operatives, not thinkers. They crack, cut, tunnel, run, and hack—but the system moves faster. What begins as kinetic power turns into exhaustion, futility, and existential breakdown.

In ASTRO7EX, action doesn’t save anyone—it just fills the silence between losses.","The Activity Class is one of action.  Whereas the Situation Class describes a fixed situation, Activity is a Class of dynamics.  Situations evolve, develop, and change.  Activities are engaged in and endeavors undertaken.",Thematic Points,
