pkid_tablature #,case #,pkid_storychords,tablature_title,tablature_summary,anime_case_title,anime_tablature_title,anime_tablature_summary
1,0,,Prologue,"The needs of a story determine the desirability of a prologue. The prologue can be used as a device to hook the audience's attention; establish a certain aura (romantic, violent); provide backstory; foreshadow certain events.",The Drowned Moon,The Last Transmission,Cold open: Vivian survives a traumatic final mission.
2,1,,Initial Situation,"--A novel usually begins with some sort of temporal and/or spatial initial situation.  The initial situation gives a description of a particular, sometimes emphasized prosperity.  This prosperity serves as a contrasting background for the misfortune to follow.
From this situation stems the orders or advice to not interfere with this prosperity--to maintain the status quo.",The Drowned Moon,Echoes in the Dust,She wakes alone in a ruined Moon base haunted by silence.
3,1,,Introduce Protagonist,--Introduce and establish protagonist's point of view--the issues and concerns that shape the protagonist's outlook.,The Drowned Moon,Black Box,Flashbacks to MAXWING reveal brutal child soldier training.
4,1,,Absence,"--One of the characters may absent her/himself from ""home.""  This may affect the initial situation, protagonist, or both.  Examples:
1. Parents leave for work, vacation, war
2. Death
3. Younger member of generation leaves
The leave-taking of a key character prepares for the misfortune, creating an opportune moment for it.",The Drowned Moon,Error: Myrtle Not Found,"Myrtle appears—helpful, but… off."
5,1,,Status Quo Violated,--Advice or order to maintain status quo is violated.,The Drowned Moon,The Relay,Vivian finds evidence of sabotage at the lunar signal relay.
6,2,,Introduce Antagonist,"--Introduce antagonist. Her/his role is to disturb the peace; cause some misfortune, damage, or harm.",The Drowned Moon,Paradox Protocol,"MODS intercept and deliver cryptic, logic-bending messages."
7,2,,Antagonist Reconnaissance,--The antagonist makes an attempt at reconnaissance--checking out the situation. The antagonist receives information about her/his victim. The antagonist attempts to deceive victim in order to take possession of her/him or their belongings.,The Drowned Moon,Vault 5-A,"Nacho, the analog AI, reboots inside a data tomb."
8,2,,Victim-Protagonist,"--If the protagonist is a ""victim"" rather than ""seeker""--s/he may submit to deception and thereby unwittingly help the antagonist.
1. The protagonist agrees to the antagonist's persuasions.  S/he has violated an order or accepted a deceitful proposal.
2. The protagonist unwittingly falls victim to some device (drugs, magic, hypnotism)-- OR other means, e.g., s/he suddenly falls asleep, wounds her/himself, etc. This facilitates the antagonist's task.",The Drowned Moon,The Crash That Never Happened,Vivian uncovers files suggesting she died in the opening scene.
9,3,,Protagonist and Story Problem,"--The protagonist deals with some aspect of the story problem, for example, starts an investigation, enlists the help of others, etc. Establish more of the protagonist's background that further shows her/his relationship to the story goal--what interest they may have or why they are best suited to pursue the goal.",Signal to Rot,Smile.exe,Myrtle mimics emotions—too perfectly.
10,3,,Introduce Subplot,--Introduce character with whom the protagonist will have a relationship (romantic/buddy/parent/teacher/or the like). This character will have the most impact on the protagonist.,Signal to Rot,A Copy That Bleeds,Vivian kills a MODS mimic pretending to be a crewmate.
